"","Actor","No. of Films","No. of Hits","avg ROI","avg Budget"
"277","Revathi",1,1,"640.741","2"
"278","Rhea Chakraborty",1,1,"160","52"
"279","Richa Chadda",3,3,"403.913","64.6666666666667"
"280","Rimi Sen",1,NA,"-20.69","57"
"281","Rishi Kapoor",3,1,"12.6923333333333","32.3333333333333"
"282","Ritesh Deshmukh",5,4,"128.2626","37.2"
"283","Riya Vij",1,NA,"66.667","37"
"284","Ronit Roy",3,2,"143.055666666667","46"
"285","Saba Azad",1,1,"300","66"
"286","Sadashiv Amrapurkar",1,NA,"33.333","58"
"287","Sagar Deshmukh",1,1,"0.746","15"
"288","Sai Tamhankar",1,1,"0.746","15"
"289","Saif Ali Khan",8,1,"-0.45325","53"
"290","Sajid Khan",1,1,"128","54"
"291","Salman Khan",7,5,"133.153285714286","46.2857142857143"
"292","Sameera Reddy",2,NA,"-16.25","36"
"293","Sanjay Dutt",6,1,"1.73928571428571","38.4285714285714"
"294","Sanjay Mishra",2,1,"20.0845","33"
"295","Sanjeev Bhatt",1,NA,"31.25","21"
"296","Sanjeev Jaiswal",1,NA,"-60","38"
"297","Santosh Barmola",1,NA,"-40","52"
"298","Sapna Pabbi",1,NA,"27.273","7"
"299","Saqib Saleem",4,2,"115","48.75"
"300","Sara Loren",2,NA,"-5.357","36.5"
"301","Sarah Jane Dias",2,1,"84.796","17.5"
"302","Sasha Agha",1,1,"15","26"
"303","Satyadeep Misra",2,NA,"-76.741","14.5"
"304","Sayani Gupta",1,1,"640.741","2"
"305","Seema Pahwa",1,1,"130.769","14"
"306","Sendhil Ramamurthy",1,NA,"33.333","37"
"307","Shadab Kamal",1,1,"9.091","53"
"308","Shah Rukh Khan",5,3,"78.4518","45.2"
"309","Shahid Kapoor",5,2,"38.5","41.2"
"310","Sharib Hashmi",2,NA,"-53.3335","21"
"311","Sharman Joshi",3,1,"34.1666666666667","29.3333333333333"
"312","Sheeba Chaddha",1,1,"130.769","14"
"313","Shefali Shah",1,NA,"-8.14","68"
"314","Shilpa Shukla",1,1,"9.091","53"
"315","Shiv Darshan",1,NA,"-94.444","23"
"316","Shivani Tanksale",1,NA,"-90.6","52"
"317","Shraddha Das",1,NA,"-6.667","19"
"318","Shraddha Kapoor",4,3,"221.52775","23.5"
"319","Shreyas Talpade",2,NA,"-69.3335","25"
"320","Shruti Haasan",4,2,"11.129","42.25"
"321","Shweta Pandit",1,NA,"-85.714","62"
"322","Siddhant Gupta",1,NA,"-66.667","37"
"323","Siddharth",1,NA,"34.4196666666667","30.3333333333333"
"324","Siddharth Basu",2,NA,"-76.741","14.5"
"325","Siddharth Malhotra",3,1,"100","40.6666666666667"
"326","Soha Ali Khan",3,NA,"-32.222","18.3333333333333"
"327","Sonakshi Sinha",11,4,"50.7264545454545","54.5454545454545"
"328","Sonal Chauhan",1,1,"20","52"
"329","Sonalee Kulkarni",1,1,"194.286","41"
"330","Sonali Raut",1,1,"20","19"
"331","Sonam Kapoor",7,2,"-4.57557142857143","40.7142857142857"
"332","Sonu Sood",2,NA,"32.25","35.5"
"333","Sridevi",1,1,"166.667","19"
"334","Subrat Dutta",1,1,"18.571","62"
"335","Suman Talwar",1,1,"19.444","64"
"336","Sunil Grover",1,1,"19.444","64"
"337","Sunil Shetty",1,NA,"-20.69","57"
"338","Sunny Deol",4,2,"47.41075","33"
"339","Sunny Leone",4,2,"136.109","43.5"
"340","Suruchi Aulakh",1,NA,"-33.333","37"
"341","Surveen Chawla",1,NA,"40","19"
"342","Sushant Singh",1,NA,"62.60525","29.75"
"343","Sushant Singh Rajput",3,1,"70.1403333333333","33.3333333333333"
"344","Suzana Rodrigues",1,NA,"-40","52"
"345","Suzanna Mukherjee",1,NA,"-66.667","37"
"346","Swastika Mukherjee",1,NA,"40.421","24"
"347","Syed Zeeshan Qadri",1,1,"193.478","71"
"348","Taaha Shah",2,NA,"-9.5235","49.5"
"349","Taapsee Pannu",2,NA,"43.6665","48"
"350","Tabu",2,1,"60.8335","41"
"351","Tamannaah Bhatia",2,NA,"53.8335","57"
"352","Tanmay Bhatt",1,NA,"-36.436","43"
"353","Tanuj Virwani",1,NA,"-93.333","19"
"354","Tara Alisha",1,1,"500","1"
"355","Tara D’Souza",2,2,"263.793","51"
"356","Tena Desae",1,NA,"25","11"
"357","Tia Bajpai",1,1,"155.556","70"
"358","Tiger Shroff",1,1,"120","31"
"359","Tigmanshu Dhulia",3,2,"178.243666666667","67"
"360","Tusshar Kapoor",6,2,"98.8871428571429","23.7142857142857"
"361","Twinkle Bajpai",1,1,"184.211","72"
"362","Vaani Kapoor",1,NA,"56.667","38"
"363","Varinder Singh",1,1,"18.571","62"
"364","Varun Dhawan",4,2,"91.52475","40"
"365","Varun Sharma",2,NA,"-32","41.5"
"366","Veera Saxena",1,1,"0.746","15"
"367","Vidya Balan",6,3,"221.3465","35.8333333333333"
"368","Vidya Malvade",1,1,"155.556","70"
"369","Vidyut Jamwal",1,NA,"40","19"
"370","Vijay Raaz",3,NA,"-63.333","38"
"371","Vijender Singh",1,NA,"-25","21"
"372","Vikram",1,NA,"56.6665","44.5"
"373","Vikram Gokhale",1,1,"133.333","37"
"374","Vinay Pathak",4,2,"213.5","23"
"375","Vinay Virmani",2,NA,"-52","41.5"
"376","Vineet Kumar Singh",2,1,"205.797","64.5"
"377","Vir Das",4,1,"4.22","27.25"
"378","Vivaan Shah",3,NA,"-39.383","16.3333333333333"
"379","Vivek Oberoi",4,1,"11.34925","36.5"
"380","William Moseley",1,1,"640.741","2"
"381","Yami Gautam",4,2,"304.55575","42"
"382","Zakir Hussain",1,NA,"-61.538","33"
"383","Zayed Khan",2,NA,"-46.25","25.5"
"384","Zoya Afroz",1,1,"20","19"
